,Protein,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Vitamin A,Vitamin C,Thiamin,Riboflavin,Niacin,Folate,Choline,Vitamin E,Cholesterol,Pantothenic acid,Manganese,Biotin
lima bean,14.499999999999998,1.2307692307692308,12.388888888888888,9.523809523809524,8.24,10.042553191489361,9.478260869565219,8.0,24.22222222222222,7.636363636363637,0.0,0.0,11.833333333333334,3.769230769230769,2.325,18.25,5.49090909090909,0.0,0.0,0.0,0.0,0.0
lime,17.64,3.0,7.4444444444444455,4.761904761904762,11.600000000000001,3.042553191489362,3.4347826086956523,11.363636363636363,12.88888888888889,35.63636363636364,12.222222222222221,5.555555555555555,8.083333333333334,20.53846153846154,0.8187500000000001,9.0,30.69090909090909,0.0,83.33333333333334,0.0,0.0,0.0
lobster,41.82,8.153846153846153,1.8333333333333333,11.428571428571429,16.32,5.382978723404255,23.26086956521739,40.63636363636363,189.77777777777777,146.36363636363637,0.1111111111111111,0.0,1.8333333333333333,1.3076923076923077,11.95625,2.25,16.18181818181818,0.0,53.666666666666664,0.0,0.0,0.0
macaroni and cheese,6.800000000000001,2.923076923076923,1.5000000000000002,0.0,0.0,0.0,16.08695652173913,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
mango,5.0,2.923076923076923,0.0,0.0,0.0,18.617021276595743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maple syrup,0.0,7.6923076923076925,0.0,0.0,0.0,6.021276595744681,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mayonnaise,0.0,0.0,0.0,0.0,0.0,0.0,28.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.666666666666668,0.0,0.0,0.0
meatball,14.06,4.769230769230769,11.722222222222221,0.0,0.0,3.829787234042553,22.434782608695652,0.0,0.0,0.0,17.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.0
melon,1.32,0.5384615384615384,1.4444444444444446,2.619047619047619,1.04,3.5319148936170213,0.6956521739130435,1.909090909090909,5.555555555555556,1.6363636363636365,9.777777777777779,13.666666666666668,3.3333333333333335,1.5384615384615383,2.6875,3.0,1.1636363636363638,0.0,0.0,0.0,0.0,0.0
mint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,1.76,2.076923076923077,4.888888888888889,0.0,0.0,7.1489361702127665,15.782608695652172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,30.12,2.5384615384615383,27.77777777777778,10.238095238095237,19.919999999999998,8.617021276595745,15.739130434782608,18.363636363636363,13.222222222222221,103.0909090909091,6.444444444444445,9.0,14.333333333333334,19.46153846153846,12.025,10.0,14.963636363636363,0.0,11.666666666666666,0.0,0.0,0.0
mustard,8.5,4.846153846153846,8.833333333333334,11.428571428571429,8.64,3.1914893617021276,47.82608695652174,5.818181818181818,8.222222222222221,61.81818181818181,0.4444444444444444,0.4444444444444444,15.75,5.076923076923077,3.5062500000000005,1.7500000000000002,4.072727272727272,0.0,0.0,0.0,0.0,0.0
nutmeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oatmeal,0.0,25.615384615384617,133.33333333333331,0.0,0.0,0.0,0.47826086956521735,0.0,0.0,0.0,617.7777777777778,74.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,1.46,4.615384615384616,18.88888888888889,1.1904761904761905,0.24,0.3617021276595745,36.30434782608696,1.0909090909090908,18.0,1.2727272727272725,1.5555555555555556,0.4444444444444444,0.6666666666666667,0.15384615384615385,0.5625,0.25,1.7272727272727273,0.0,0.0,0.0,0.0,0.0
omelet,2.2,1.0769230769230769,1.7777777777777777,3.0952380952380953,2.4,5.914893617021277,0.26086956521739135,1.909090909090909,7.888888888888888,0.18181818181818182,4.777777777777778,21.22222222222222,3.6666666666666665,2.076923076923077,4.03125,3.5000000000000004,1.3454545454545455,0.0,0.0,0.0,0.0,0.0
onion,21.8,1.2307692307692308,19.555555555555557,0.0,0.0,0.0,18.695652173913043,0.0,0.0,0.0,8.666666666666668,0.0,83.33333333333334,25.538461538461537,29.312500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange,9.52,0.0,0.0,0.0,0.0,0.0,16.565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oregano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oyster,9.9,7.461538461538461,13.444444444444445,4.285714285714286,5.36,2.893617021276596,21.869565217391305,91.0909090909091,80.33333333333333,22.727272727272727,11.11111111111111,2.0,12.333333333333334,8.692307692307692,11.475,11.5,4.3999999999999995,0.0,3.3333333333333335,0.0,0.0,0.0
